,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,38,주관적인 유럽권 1티어 - 프라하,경영학과,학부,2019,/partner/expReport.asp?id=15560&page=1&bgbn=R,1,0.3226739764213562
1,37,프라하에서 교환학생,계량위험관리,학부,2019,/partner/expReport.asp?id=15553&page=1&bgbn=R,0,0.64012610912323
2,36,"Cau, Praha",언더우드국제대학 문화디자인경영,학부,2019,/partner/expReport.asp?id=15551&page=1&bgbn=R,1,0.515648603439331
3,35,"Prague, Czech it out!",언더우드 국제학과,학부,2017,/partner/expReport.asp?id=14013&page=1&bgbn=R,0,0.5139521360397339
4,34,"Moje oblibene m?sto, Praha",생활디자인,학부,2017,/partner/expReport.asp?id=14006&page=1&bgbn=R,0,0.5163494348526001
5,33,잊을 수 없는 프라하에서의 한 학기,신문방송학과,학부,2016,/partner/expReport.asp?id=13746&page=1&bgbn=R,1,0.8926845192909241
6,32,안은 미국 밖은 유럽,경영대학 경영학과,학부,2016,/partner/expReport.asp?id=13710&page=1&bgbn=R,0,0.5554141998291016
7,31,Dobry den!,행정학과,학부,2016,/partner/expReport.asp?id=13630&page=1&bgbn=R,1,0.515648603439331
8,30,프라하의 연대인,신문방송학과,학부,2016,/partner/expReport.asp?id=13184&page=1&bgbn=R,0,0.6462738513946533
9,29,"꿈만 같았던 도시, 프라하",국제학과,학부,2016,/partner/expReport.asp?id=13110&page=1&bgbn=R,0,0.7930746078491211
10,28,프라하 교환학생 2016 봄학기 usac,실내건축학과,학부,2016,/partner/expReport.asp?id=12901&page=2&bgbn=R,0,0.6675151586532593
11,27,"낭만이 있는 곳, 프라하",정치외교학과,학부,2014,/partner/expReport.asp?id=12859&page=2&bgbn=R,0,0.9054151773452759
12,26,추억/여행/유럽LIFE의 가장 좋은 대안 프라하,경영학과,학부,2015,/partner/expReport.asp?id=12651&page=2&bgbn=R,1,0.8068498373031616
13,25,"Miluju, D?kuju Praha",신문방송학과,학부,2015,/partner/expReport.asp?id=12461&page=2&bgbn=R,0,0.5139521360397339
14,24,"대학생활의 봄, 프라하",정치외교학과,학부,2014,/partner/expReport.asp?id=12375&page=2&bgbn=R,1,0.4737468361854553
15,23,"프라하, 나의 마음의 고향",국제대학 정치외교학과,학부,2015,/partner/expReport.asp?id=11916&page=2&bgbn=R,1,0.6097142100334167
16,22,프라하의 봄,신문방송학과,학부,2014,/partner/expReport.asp?id=7379&page=2&bgbn=R,0,0.7141398191452026
17,21,"Dobry den, Praha!",식품영양학과,학부,2013,/partner/expReport.asp?id=6882&page=2&bgbn=R,1,0.5122702717781067
18,20,프라하에서의 한 학기,스포츠레저학과,학부,2013,/partner/expReport.asp?id=6875&page=2&bgbn=R,1,0.7647068500518799
19,19,"Dekuju, praha!",정치외교학과,학부,2013,/partner/expReport.asp?id=6738&page=2&bgbn=R,1,0.5123575925827026
20,18,내 생에 가장 행복했던,경영학과,학부,2013,/partner/expReport.asp?id=6679&page=3&bgbn=R,1,0.9724928140640259
21,17,가장 아름다웠던 시간,영어영문학과,학부,2012,/partner/expReport.asp?id=6559&page=3&bgbn=R,1,0.8865947723388672
22,16,Pragueeeee,철학과,학부,2013,/partner/expReport.asp?id=6498&page=3&bgbn=R,1,0.50729900598526
23,15,Ahoj Praha,중어중문학과,학부,2013,/partner/expReport.asp?id=6409&page=3&bgbn=R,0,0.5230967998504639
24,14,프라하의 휴일,경영학과,학부,2012,/partner/expReport.asp?id=6192&page=3&bgbn=R,0,0.5904449224472046
25,13,Miluju Praha!,건축공학과,학부,2012,/partner/expReport.asp?id=6007&page=3&bgbn=R,1,0.515648603439331
26,12,프라하에서의 꿈같았던 한 학기,행정학과,학부,2011,/partner/expReport.asp?id=5743&page=3&bgbn=R,1,0.8888574838638306
27,11,프라하에서의 한 학기,문화인류학과,학부,2012,/partner/expReport.asp?id=5633&page=3&bgbn=R,1,0.7647068500518799
28,10,프라하와 프라하 아닌 곳들,문화인류학과,학부,2011,/partner/expReport.asp?id=5576&page=3&bgbn=R,1,0.8392073512077332
29,9,프라하프라하!!!,생활디자인학과,학부,2010-2011,/partner/expReport.asp?id=4994&page=3&bgbn=R,1,0.6837317943572998
30,8,Dobry den,토목환경공학과,학부,2009-2010,/partner/expReport.asp?id=4664&page=4&bgbn=R,0,0.5230967998504639
31,7,나의 연인이 되어버린 프라하,행정학과,학부,2010,/partner/expReport.asp?id=4463&page=4&bgbn=R,0,0.7558547258377075
32,6,잊을 수 없는 한 철,신문방송학과,학부,2008,/partner/expReport.asp?id=4170&page=4&bgbn=R,0,0.7992120981216431
33,5,경험보고서 입니다.,보건행정학과,학부,2008,/partner/expReport.asp?id=3899&page=4&bgbn=R,1,0.7686026096343994
34,4,Jaro je tady! ;-),생명과학/심리학,학부,2009,/partner/expReport.asp?id=3746&page=4&bgbn=R,1,0.5122702717781067
35,3,프라하를 즐기기,사학사회학,학부,2009,/partner/expReport.asp?id=3715&page=4&bgbn=R,0,0.7813732624053955
36,2,프라하의 봄.,행정학과,학부,2008-2009,/partner/expReport.asp?id=3573&page=4&bgbn=R,1,0.7082507014274597
37,1,프라하... 꿈은 현실로,영어영문과,학부,2008,/partner/expReport.asp?id=3540&page=4&bgbn=R,1,0.8072527647018433
